Russian_term	English_term	Russian_sentence	English_sentence_expert
время жизни электронов	electron lifetime	Время жизни электронов в накопителе составляет 20–40 ч.	The electron lifetime in the storage ring is 20 to 40 h.
время набора статистики	statistics collection time	Так, для развертки, приведенной в примере полосы 5–10 Å, на самом деле достаточно втрое меньшего времени, т.е. частоту нарезки импульсов можно увеличить с 10 до 30 Гц без потерь в диапазоне и разрешении и тем самым сократить втрое время набора статистики.	In particular, the time necessary for the scan reported in the example with a band of 5–10 Å is in fact shorter by a factor of 3; i.e., the pulse generation frequency can be increased from 10 to 30 Hz without any loss in the range and resolution and thus reduce thrice the statistics collection time.
время процесса роста	growth time	где t – время процесса роста, а в коэффициентах  благодаря гравитационной добавке (11) усиливается различие между гранями разной ориентации.	where t is the growth time; the difference between the faces of different orientations in the coefficients  is enhanced due to the gravitational additive (11).
время свободного пробега	mean free time	Время свободного пробега фононов тепловых частот относительно фонон-фононного взаимодействия в YAG из данных по кинетике НФ [13] при Т = 3.8 K (* = 4∙10-4 с).	The mean free time of thermal-frequency phonons relative to the phonon–phonon interaction in YAG was taken from the data on the NP kinetics [13] at T = 3.8 K (τ* = 4 × 10–4 s).
вторичная электронная эмиссия	secondary electron emission	На катоде учитывалась термоэмиссия и вторичная электронная эмиссия под действием быстрых ионов и атомов.	Thermal emission and secondary electron emission induced by fast ions and atoms on the cathode are taken into account.
второе начало термодинамики	second law of thermodynamics	С переходом на локальный термодинамический уровень, когда справедливо статистическое равновесное представление Больцмана об энтропии системы как логарифма числа эквивалентных микросостояний [22], уже возникает стрела времени в форме описанной выше строго последовательной серии процессов десорбции–роста–адсорбции и второе начало термодинамики вступает в силу.	When passing to the local thermodynamic level, where the statistical equilibrium Boltzmann's concept about the entropy of a system as a logarithm of the number of equivalent microstates [22] is valid, there arises a time arrow in the form of the above-described strictly successive series of desorption–growth–adsorption processes, and the second law of thermodynamics comes into force.
входящий в состав	incorporated in the composition	Поскольку основной компонент CdF2, входящий в состав нестехиометрических фаз, обладает высоким давлением паров, это затрудняет рост кристаллов Cd1 – xRxF2 + x из расплава.	Since the main component CdF2 incorporated in the composition of nonstoichiometric phases is characterized by a high vapor pressure, the growth of Cd1–xRxF2+x crystals from melt is hindered.
высокий показатель преломления	high refractive index	Кроме того, все образцы имеют высокий показатель преломления.	In addition, all samples have a high refractive index.
высокого оптического качества	of high optical quality	Рост кристаллов проводили при пересыщении 7% в течение трех недель, в результате получили кристаллы высокого оптического качества, не содержащие включений, размером до 120 × 120 мм2.	The crystals were grown at a supersaturation of 7% for three weeks, as a result of which crystals of high optical quality up to 120 × 120 mm2 in size without inclusions were obtained.
геометрический и топологический анализ	geometrical and topological analysis	С помощью компьютерных методов (пакет программ TOPOSPro) осуществлен геометрический и топологический анализ и проведено моделирование самосборки кристаллических структур интерметаллидов CsnMk (М = Na, K, Rb, Pt, Au, Hg, Te).	A geometrical and topological analysis has been performed, and self-assembly of the crystal structures of intermetallic compounds CsnMk (М = Na, K, Rb, Pt, Au, Hg, Te) has been simulated using computer methods (the ToposPro software).
главное квантовое число	principal quantum number	В качестве меры направленного характера химической связи между атомами Дехлингером в . было предложено использовать среднее главное квантовое число  наружных занятых электронных оболочек атомов, входящих в химическую формулу соединения.	Dehlinger suggested in 1955 to use the mean principal quantum number  of the outer filled electron shells of atoms entering the chemical formula of the compound as the measure of the directed character of chemical interatomic bond.
главные показатели преломления	principal refractive indices	где n1, n2, n3 – главные показатели преломления.	where n1, n2, and n3 are the principal refractive indices.
говорит в пользу	counts in favor of	При этом повышенное соотношение атомарного кислорода к металлу говорит в пользу повышенного содержании термодинамически обусловленной при 800 С вюститной фазы в окисленной стружке по сравнению с оксидированным исходным образцом.	The high ratio of the atomic oxygen to the metal counts in favor of the elevated content of the wustite phase (thermodynamically caused at 800 C) in the oxidized chipping, in comparison with the oxidized initial sample.
давление насыщенных паров	saturated vapor pressure	Ионные жидкости имеют очень низкое давление насыщенных паров и практически не влияют на давление паров чистого н-гексана.	The ionic liquids have a very low saturated vapor pressure and barely affect the pressure of pure n-hexane vapor.
дальний атомный порядок	long-range atomic order	Его можно определить как структурное состояние, когда дальний атомный порядок отсутствует (т.е. нет строгой корреляции и трансляционной симметрии в расположении атомов на больших расстояниях), но сохраняется ближний порядок (корреляции атомов реализуются в двух–трех ближайших координационных сферах) [2, 3].	It can be defined as the structural state when the long-range atomic order is absent (i.e., there are no strict correlation and translational symmetry in the atomic arrangement for large distances) but the short-range order is retained (atomic correlations are implemented in two–three nearest coordination spheres) [2, 3].
дальний магнитный порядок	long-range magnetic order	Возможно, при константе спин-волновой жесткости, меньшей 10 мэВ Å2, ДМ-взаимодействие способно полностью разрушить дальний магнитный порядок и привести к ближнему магнитному порядку, что в результате и приводит к флуктуациям ориентации вектора магнитной спирали kS.	Possibly, at a spin wave stiffness constant lower than 10 meV Å2, the DM interaction can completely destroy the long-range magnetic order and lead to short-range magnetic order, which results in the orientation fluctuations of the magnetic spiral vector kS.
два порядка величины	two orders of magnitude	Выше этой температуры проводимость возрастала скачком на два порядка величины.	Above this temperature, the conductivity abruptly increased by two orders of magnitude.
двойная петля гистерезиса	double hysteresis loop	Рис. 5. Типичная петля гистерезиса в сегнетоэлектрике (а) [3], двойная петля гистерезиса в антисегнетоэлектрике (б) [31].	Fig. 5. (a) A typical hysteresis loop in a ferroelectric [3] and (b) a double hysteresis loop in an antiferroelectric [31].
действие магнитного поля на	the effect of a magnetic field on	Воздействие магнитного поля на эмульсию магнитной жидкости в минеральном масле АМГ-10 приводит к существенному изменению прозрачности, которое может достигать 25-30% в поле напряженностью до 5 kA/m.	The effect of a magnetic field on a magnetic-fluid emulsion in AMG-10 mineral oil leads to a significant change in the transparency, which may reach 25–30% at field strengths up to 5 kA/m.
деление тяжелых ядер	fission of heavy nuclei	Нейтроны выделяются во множестве различных ядерных реакций, но лишь две из них – деление тяжелых ядер и каскадно-испарительные реакции – обладают удачным сочетанием выхода нейтронов и низкого энерговыделения на одну реакцию.	Neutrons are selected in many various nuclear reactions, but only two of them—fission of heavy nuclei and spallation reactions—possess a favorable combination of a high neutron yield and low energy release per reaction event.
дефектная структура кристалла	defect crystal structure	В зависимости от тепловых условий роста слитка образуется дефектная структура кристалла, которая включает в себя преципитаты, дислокационные петли или микропоры [17].	The defect crystal structure is formed depending on the thermal ingot growth conditions; it includes precipitates, dislocation loops, or micropores [17].
динамика конденсированных сред	dynamics of condensed media	Атомная, молекулярная и магнитная динамика конденсированных сред дает наиболее полную и детальную информацию о микроскопической природе и параметрах соответствующих взаимодействий.	The atomic, molecular, and magnetic dynamics of condensed media yields most complete and detailed information about the microscopic nature and parameters of the corresponding interactions.
динамическое деформационное старение	dynamic strain aging	Вместе с тем динамическое деформационное старение дислокаций и их взаимодействие с малыми преципитатами являются основными обсуждаемыми механизмами развития прерывистой деформации [17–22].	At the same time, the dynamic strain aging of dislocations and their interaction with small precipitates are the main mechanisms of discontinuous deformation development that are under discussion [17–22].
динамическое рассеяние света	dynamic light scattering	Динамическое рассеяние света.	Dynamic light scattering
дифракция отраженных электронов	electron backscattered diffraction	Перспективным приемом изучения зональных зерен служит дифракция отраженных электронов (ДОЭ).	A promising procedure of studying zonal grains is electron backscattered diffraction (EBSD).
длина волны зондирующего излучения	probe wavelength	Длина волны зондирующего излучения =450  (1), 550  (2) и 600 nm (3).	The probe wavelength is  = (1) 450, (2) 550, and (3) 600 nm.
длина волны света	light wavelength	где λ – длина волны света;  − показатель преломления для невозмущенного кристалла;  − компонента электрооптического тензора механически зажатого кристалла; ,  и −  упругооптические коэффициенты кристалла; ESC – эффективное поле пространственного заряда голограммы [4, 11];  ‒  компонента тензора модулей упругости кристалла в сокращенной форме записи и Λ = 2π/|K| ‒ пространственный период фоторефрактивной голограммы.	where λ is the light wavelength; n0 is the refractive index for the unperturbed crystal;  is the component of the electro-optic tensor of the crystal under pressure; p11, p12, and p13 are the elasto-optic coefficients of the crystal; ESC is the effective field of the hologram space charge [4, 11]; c11 is the elasticity-tensor component of the crystal in a shorthand notation; and Λ = 2π/|K| is the spatial period of the photorefractive hologram.
длина когерентного рассеяния	coherent scattering length	Здесь An = bN0 и Am = pN0 – амплитуды ядерного и магнитного рассеяния, b – длина когерентного рассеяния ядра, p – длина магнитного когерентного рассеяния атома, N0 – количество атомов в единице объема вещества.	Here, An = bN0 and Am = pN0 are the nuclear and magnetic scattering amplitudes, b is the coherent scattering length of nucleus, p is the magnetic coherent scattering length for an atom, and N0 is the number of atoms per unit volume of material.
длина свободного пробега	free path	Быстрые атомы движутся в кинетическом режиме, так как их длина свободного пробега заметно превышает длину перезарядки.	Fast atoms move in the kinetic mode, because their mean free path exceeds significantly the charge-exchange length.
для исследования распределения	for studying the distribution	Циркулярно поляризованное рентгеновское излучение дает большие перспективы и для исследования распределения доменов с разной хиральностью.	The use of circularly polarized X rays is also very promising for studying the distribution of domains of different chirality.
для удобства сравнения	for convenience of comparison	Для удобства сравнения экспериментальных значений теплоемкостей Al2O3 с данными [22] измеренные значения нужно было представить через 10 и 50 К на основании уравнений  ~ f(T), вычисленных по экспериментальным данным, так как в таком виде представлены данные работы [22].	For convenience of comparison of the experimental values of the Al2O3 specific heats and the data of [22], the measured values were represented with steps of 10 and 50 K based on the equations  ~ f(T) calculated based on the experimental data, because the data of [22] were presented in specifically this way.
для этой цели	for this purpose	Их точная диагностика требует одновременно определять состав и структуру, и для этой цели оптимальна комбинация методов СЭМ/ЭДС и ДОЭ-анализа.	Their accurate identification requires simultaneous determination of the composition and structure; a combination of the SEM/EDS method and EBSD analysis is optimal for this purpose.
дно зоны проводимости	bottom of the conduction band	Фотовозбужденные нетермализованные носители теряют свою энергию, опускаясь на дно зоны проводимости, что приводит к их сдвигу l0 и создает объемный фотовольтаический ток [41, 49].	Photoexcited nonthermalized carriers lose their energy, accumulating on the bottom of the conduction band, which leads to their shift l0 and generates a bulk photovoltaic current [41, 49].
до и после облучения	before and after irradiation	С недавнего времени ДОЭ используют в ядерной энергетике при анализе топлива (UO2, U–Mo) и его оболочек (Zr–Nb-сплав) до и после облучения, а также для изучения влияния нагревания на свойства этих материалов [32, 33].	Since recently, EBSD is used in nuclear power engineering for analyzing fuel (UO2 and U–Mo) and its shells (Zr–Nb alloy) before and after irradiation and for studying the influence of heating on properties of these materials [32, 33].
до недавнего времени	until recently	Установленные факты способствовали пересмотру феноменологической теории, которой до недавнего времени описывали магнитную структуру этих магнетиков [56].	The established facts facilitated the revision of the phenomenological theory, which had been used until recently to describe the magnetic structure of these magnets [56].
до определенного предела	up to a certain limit	Именно в этой зоне неизбежно происходит частичное плавление стенки корпуса, причем чем меньше глубина металлического расплава (до определенного предела), тем больше фокусирующий эффект.	Partial melting of the vessel wall inevitably occurs specifically in this region, and the smaller the metal melt depth (up to a certain limit), the stronger the focusing effect is.
дрейфовая скорость электронов	electron drift velocity	где υ – дрейфовая скорость электронов, q0 – полное количество неравновесных электронов, генерированных лазерным излучением, ℓ - длина образца, τ – время жизни неравновесных электронов,  – заряд дрейфовой емкости, σ – электропроводность пленки, С – дрейфовая емкость, δ – логарифмический декремент затухания.	where υ is the electron drift velocity, q0 is the total number of nonequilibrium electrons generated under laser irradiation, ℓ is the sample length, τ is the nonequilibrium electron lifetime,  is the drift-capacitance charge, σ is the film electrical conductivity , C is the drift capacitance, and δ is the logarithmic decrement.
естественная оптическая активность	natural optical activity	Учет ПД дает возможность расширить спектр изучаемых явлений и рассматривать такие эффекты, как естественная оптическая активность (ЕОА), электрогирация, круговой дихроизм и т. п.	Account of the SD allows one to extend the range of phenomena under study and to consider the effects such as natural optical activity (NOA), electrogyration, circular dichroism, etc.
есть все основания полагать	there is good reason to believe that	Если опираться на геометрический фактор при изоморфных замещениях, есть все основания полагать дефектное (кластерное) строение нестехиометрических флюоритов Cd1 – xRxF2 + x и Ca1 – xRxF2 + x одинаковым.	Proceeding from the geometric factor at isomorphic substitutions, there is good reason to believe that the defect (cluster) structures of nonstoichiometric Cd1–xRxF2+x and Ca1–xRxF2+x fluorites are identical.
за последнее время	recently	За последнее время появилось несколько книг, посвященных методам нейтронной спектроскопии и исследованиям возбуждений в кристаллах с использованием этих методов [1–4].	Recently, several monographs devoted to the neutron spectroscopy methods and study of excitations in crystals by these methods have been published [1–4].
зависимость от температуры	temperature dependence	Для полуширины мягкой моды получено значение ∆Ω0  80 см–1, а зависимость от температуры для этой величины не учитывалась.	For the soft mode half-width, we find that ∆Ω0 ≈ 80 cm–1, and the temperature dependence for this parameter was disregarded.
зависит от магнитного поля	depends on the magnetic field	Известно, что в случае квадратичной дисперсии спин-волновое рассеяние нейтронов сконцентрировано в узком конусе с максимальным углом , который зависит от магнитного поля и однозначно связан с жесткостью спиновых волн  [8, 9].	It is well-known that, in the case of the quadratic dispersion, the spin-wave neutron scattering is concentrated in a narrow cone with a maximum angle , which depends on the magnetic field and is uniquely related to the spin wave stiffness constant  [8, 9].
задержка во времени	time delay	Задержка во времени открытия относительно Р-прерывателя должна быть равна времени пролета самых коротковолновых нейтронов полосы, время закрытия должно соответствовать времени пролета самых медленных нейтронов.	The time delay for opening with respect to the P chopper should to be equal to the time of flight of the shortest wavelength neutrons in the band; the closing time should correspond to the time of flight of the slowest neutrons.
закон сохранения импульса	momentum conservation law	Учитывая закон сохранения импульса и подставляя разложенные компоненты вектора переданного импульса q из выражения (1) в дисперсионное соотношение (2), получим	Taking into account the momentum conservation law and substituting the expanded components of the momentum transfer vector q from Eq. (1) into dispersion relation (2), we obtain
закон сохранения квазиимпульса	quasi-momentum conservation law	Присутствие центрального пика в широкой области температур в кристаллах кварца открывает возможность для реализации условий фазового синхронизма при нелинейно-оптических процессах в этом кристалле за счет вклада в закон сохранения квазиимпульса моды, соответствующей центральному пику, характеризующейся нулевой частотой и отличным от нуля квазиимпульсом.	The presence of the central peak in a wide temperature range in quartz crystals provides the possibility of implementing the phase-matching conditions for nonlinear optical processes in these crystals due to the contribution from the mode, which corresponds to the central peak and is characterized by zero frequency and nonzero quasi-momentum, to the quasi-momentum conservation law.
закон сохранения энергии	energy conservation law	Принимая во внимание закон сохранения энергии для поглощения и возбуждения магнонами нейтронов  и  и делая замену , из (3) получим уравнения:	Taking into account the energy conservation law for the absorption and excitation of neutrons by magnons  and and making the replacement , we derive the following equations from (3):
зона проводимости и валентная зона	conduction and valence bands	Существуют две группы энергетических уровней – зона проводимости и валентная зона.	There are two groups of energy levels: conduction and valence bands.
играет двоякую роль	plays a dual role	Таким образом, кальций в этой структуре играет двоякую роль – как часть квазикаркаса (в позиции D) и как внекаркасный катион (в позиции С).	Thus, Ca plays a dual role in this structure: as a part of the quasi-framework (in the D site) and as an extraframework cation (in the C site).
играет определяющую роль	plays a key role	В случае наличия химического взаимодействия молекул с подложкой оно, по-видимому, играет определяющую роль в ориентации молекул на поверхности.	When the chemical interaction between molecules and the substrate is present, it likely plays a key role in the molecular orientation on the surface.
изложенные выше результаты	above results	Изложенные выше результаты дают возможность констатировать существование связи RGaTa и RLaTa, а следовательно, и содержания кислородных вакансий, с величиной d11, которая ранее не была описана в литературных источниках.	Based on the above results, we can state that there is a correlation between RGaTa and RLaTa and, consequently, the content of oxygen vacancies with the d11 value; this correlation has not been previously described in the literature.
измерения при низких температурах	low-temperature measurements	При исследовании поликристаллических материалов в ряде случаев применяются особые устройства, позволяющие закрепить в них сразу несколько образцов и автоматически сменять их один за другим в нейтронном пучке, включая измерения при низких температурах, для экономии времени на перегрузку.	Special devices are sometimes used when studying polycrystalline materials, which make it possible to mount several samples and automatically change them one after another in the neutron beam (in particular, in low-temperature measurements) to save time on reloading.
имеет принципиальное значение для	is of key importance for	Понимание общих закономерностей молекулярной самосборки на поверхности жидкости имеет принципиальное значение для разработки новых методов синтеза органических и биоорганических функциональных материалов самого различного назначения.	Understanding the general regularities of molecular self-assembly on a liquid surface is of key importance for developing new methods of synthesis of organic and bioorganic functional materials for most diverse purposes.
импульсный источник нейтронов	pulsed neutron source	Новейший импульсный источник нейтронов European Spallation Source (ESS) [2], строительство которого продолжается в Швеции, подошел к пределу возможностей испарительной технологии.	The latest pulsed neutron source—European Spallation Source (ESS) in Sweden [2], whose construction is under way, has reached the limit of spallation technology.
интегральная интенсивность излучения	total radiation intensity	Рис. 3. Интегральная интенсивность излучения, прошедшего через систему линз вблизи энергии излучения 19 832.5 эВ (а). Поперечное распределение интенсивности излучения, полученного различными наборами СПЛ (девять линз и канал настройки одновременно) с разным количеством единичных линз, расположенными на чипе ЭПО (б–д). Вертикальными линиями отмечены энергии, на которых получены изображения (б–д).	Fig. 3. (a) Total radiation intensity transmitted through a set of lenses in the vicinity of radiation energy of 19 832.5 eV. (b–e) Transverse distributions of radiation intensity, obtained using different CRL sets (nine lenses and tuning channel simultaneously) with different numbers of unit lenses, located on an ROE chip. The vertical lines in panel (a) indicate the energies at which the images (b–e) were recorded.
интенсивная широкая полоса	strong wide band	В ИК-спектре АРС (N-Xy-Py)(TCNQ)2(CH3CN) наблюдается одна интенсивная широкая полоса в области 3000–3600 см–1, которая соответствует возбуждению с переносом заряда в стопках TCNQ.	The IR spectrum of (N-Xy-Py)(TCNQ)2(CH3CN) ARS contains a strong wide band in the range of 3000–3600 cm–1, which corresponds to charge-transfer excitation in TCNQ stacks.
интенсивность центрального пика	central-peak intensity	При температуре Т = Tmax, близкой к точке перехода (Тmax  Тс), интенсивность центрального пика (7) имеет резкий максимум.	At temperature T = Tmax that is close to the transition point (Tmax < Tc), central-peak intensity (7) has a sharp maximum.
источник лазерного излучения	laser	Субпетаваттный источник лазерного излучения обладает уникальным в России набором технических характеристик и функциональных возможностей, обеспечивает промежуточные уровни пиковой мощности, заполняющие разрыв между лазерными комплексами класса рентгеновского лазера на свободных электронах (XFEL) и лазерными системами мощностью в единицы тераватт, работающими в ряде крупных международных лабораторий, что позволяет масштабировать и проверять экспериментальные задачи, предлагаемые к реализации на установках мегакласса.	The subpetawatt laser radiation source exhibits unique (for Russia) technical characteristics and functional possibilities and provides intermediate levels of the peak power, filling the gap between the laser complexes of the XFEL class and the laser systems with powers of several terawatts of some large international laboratories, which makes it possible to scale and verify the experimental problems proposed to be solved on the Megaclass systems.
источник синхротронного излучения	synchrotron radiation source	Флагманский проект Программы – источник синхротронного излучения четвертого поколения с лазером на свободных электронах “СИЛА” с периметром более 1100 м и энергией электронов 6 ГэВ в будет построен в г. Протвино Московской области.	The top-of-the-line project of the Program—the fourth-generation synchrotron radiation source with a free-electron laser SILA, having a perimeter more than 1100 m and electron energy of 6 GeV—will be built in Protvino (Moscow oblast).
к настоящему времени	to date	Несмотря на значительный прогресс последних лет, связанный с развитием новых методов и техник интерпретации экспериментальных данных о широких атмосферных ливнях (ШАЛ), инициируемых частицами космических лучей в атмосфере Земли, полученные к настоящему времени результаты остаются неоднозначными во всей доступной для изучения методом ШАЛ области энергий (см., например, [1–6]).	Although considerable progress has been made in recent years related to the development of new methods and techniques of interpretation of experimental data on extensive air showers (EASs) initiated by cosmic-ray particles in Earth's atmosphere, the results to date are still ambiguous in the entire energy range that is accessible for study by the EAS method (see, for example, [1–6]).
как будет показано ниже	as will be shown below	Как будет показано ниже, в разд. 3, они иногда применяются совместно с другими методами, что приводит к хорошему результату.	As will be shown below (see Section 3), they are sometimes applied in combination with other methods, which yields a good result.
как видно на	as can be seen in	Однако, как видно на рис. 4a, для рассматриваемой структуры магнитных стенок результаты восстановления изображения практически не отличаются от полученных ранее с помощью УО (рис. 2a).	However, as can be seen in Fig. 4a, the results of image reconstruction for the magnetic wall structure under consideration barely differ from those obtained previously using the ER algorithm (Fig. 2a).
как и следовало ожидать	as one would expect	Из температурной зависимости величины Iот для концентраций 0.8, 0.6 и 0.4 мольных долей видно, что по сравнению с чистым -пиколином значение Iот, как и следовало ожидать, увеличилось.	It can be seen in the temperature dependences of Irel for the concentrations of 0.8, 0.6, and 0.4 molar fractions that, as one would expect, the Irel value increased in comparison with pure γ-picoline.
как отмечалось выше	as noted above	Однако, как отмечалось выше, многие переходные металлы в разнообразных соединениях типа АХ склонны кристаллизоваться именно в этом структурном типе.	However, as was noted above, many transition metals in various AX-type compounds are prone to be crystallized into specifically this structure type.
как следует из	as follows from	Однако, как следует из сравнения кривых 3 и 4, вне области 390–600 нм расхождение между спектрами весьма существенное.	However, as follows from a comparison of curves 3 and 4, the discrepancy between the spectra is significant beyond the range of 390–600 nm.
картирование обратного пространства	reciprocal space mapping	Эксперименты проводили на станции P23 синхротронного источника Petra III (DESY, Гамбург, Германия), предназначенной для проведения дифракционных экспериментов, включая картирование обратного пространства, резонансную рентгеновскую дифракцию и ряд других методик.	Experiments were performed on the P23 beamline of the Petra III synchrotron source (DESY, Hamburg, Germany), designed for diffraction experiments, including reciprocal space mapping, resonant X-ray diffraction, and some other techniques.
квазиупругое рассеяние нейтронов	quasi-elastic neutron scattering	Квазиупругое рассеяние нейтронов на сегодня является единственным экспериментальным методом, позволяющим изучать как временные, так и пространственные характеристики процессов самодиффузии.	To date, quasi-elastic neutron scattering is the only experimental method allowing one to study both temporal and spatial characteristics of self-diffusion processes.
концентрационный структурный переход	concentration-driven structural transition	По данным рентгенофазового анализа для составов с y > 0.12 наблюдается характерный концентрационный структурный переход с изменением объема элементарной ячейки и пространственной группы ( P63/mmc).	X-ray diffraction data for the compositions with y > 0.12 exhibit a characteristic concentration-driven structural transition with a change in the unit-cell volume and space group (  P63/mmc).
коэффициент оптического поглощения	optical absorption coefficient	где , α2ω = 2(δ2 + k2ω) – коэффициент оптического поглощения на частоте второй гармоники.	where  and α2ω = 2(δ2 + k2ω) is the optical absorption coefficient at the second-harmonic frequency.
коэффициент отражения по мощности	power reflection coefficient	Поэтому при частоте продольного резонанса коэффициент отражения по мощности Rs волны с s-поляризацией близок к нулю (рис. 2, 3), а у ортогональной p-поляризации Rp больше 0.6 (рис. 4).	Therefore, at the longitudinal-resonance frequency, power reflection coefficient Rs of the s-polarized wave is close to zero (Figs. 2, 3), whereas for the orthogonal p-polarized wave, Rp exceeds 0.6 (Fig. 4).
коэффициент теплового расширения	coefficient of thermal expansion	Коэффициент теплового расширения α33 = 4 × 10–6 К–1 [42].	The coefficient of thermal expansion is α33 = 4×10–6 K–1 [42].
коэффициент электромеханической связи	electromechanical coupling coefficient	Например, в кристалле LTG нет фазовых переходов ниже температуры плавления 1510С, высокий коэффициент электромеханической связи, более чем в 2 раза превышающий соответствующий коэффициент для кварца, высокое удельное сопротивление, а также постоянный в диапазоне температур до 600C пьезомодуль d11 [30].	For example, the LTG crystal undergoes no phase transitions below the melting point (1510ºC). It has a high electromechanical coupling coefficient (which exceeds the corresponding coefficient for quartz by a factor of more than 2) and a high resistivity; its piezoelectric coefficient d11 is constant in the temperature range of up to 600ºC [30].
кривая дифракционного отражения	rocking curve	Кривая дифракционного отражения определяется рядом параметров, характеризующих реальную структуру кристалла, таких как форма пика, интегральная интенсивность, полуширина, а также его угловое положение θB.	The X-ray rocking curve is determined by a number of parameters characterizing the real crystal structure such as the peak shape, total intensity, half-width, and the angular position θB.
кривые атомного рассеяния	atomic scattering curves	Для катионных позиций в октаэдрическом окружении использовали смешанные кривые атомного рассеяния.	Mixed atomic scattering curves were applied for octahedrally coordinated cation sites.
